Report date,Well ,Project,Mid Night Depth (ft),Comments,Formation,Spud date,Avg. ROP (ft/hr),Flow rate (gpm),Min. RPM (rpm),Max. RPM (rpm),Max. WOB (kip),Min. WOB (kip),TFA (in²)
30/10/2018,BB-1310,BAB,"10,550.00","R-1: DISCUSSED LSR: WORK AUTHRISATION,100% HSE R-2: 590 GPM,  120 RPM, 20-30 KIPS R-3: MUD SYSTEM IS LOADED WITH 2 PPB OF ZNCO3 SCAVENGER  R-4 : SYSTEM LOADED WITH REINFORCEMENT MATERIAL AS PER OBM PLAN BEFORE ENTERING ZONE C R-5:KICK DRILL WHILE DRILLING  R-6: LANDING POINT CONFIRMED BY GEOLOGIST 100/0' /  87 DEG. SCR @ 10550' W/10.4 PPG, OBM\t \tMP-1 @ 30 SPM: 350 PSI , 40 SPM: 450 PSI \tMP-2 @ 30 SPM: 350 PSI , 40 SPM: 450 PSI ",DENS HABSHAN,,46.8,590,120,120,30,25,0.869
30/10/2018,BB-1301,BAB,735,"R-1:  DISCUSSED  SP2R#7 LSR  (WORK  AUTHORISATION) 100% HSE  OBSERVATION REPORTING. R-2 : FOLLOWED RIG ACCEPTANCE CHECKLIST APPENDIX 6A. R-3 : * DRILLED W/ CONTROLLED PARAMETER TILL REAMERS OUT OF SHOE.          * 50 RPM, 700 GPM, 5-10 KLBS. R-4 :  * INCREASED PARAMETERS 80 RPM, 850 GPM, 20-30KLB           * PUMPED 25 BBLS AFTER EACH CONNECTION.           * WASH UP & REAM DOWN EACH STAND.  R-5 : VISUALLY INSPECTED BOP ELEMENTS.  **NEXT LOCATION: BB - 1275.",MIOCENE CLASTICS,,60.5,550,65,70,15,5,0.785
23/10/2018,BB-1279,BAB,"5,480.00","R-1: SPR-9- TIME OF ROTATION AND CIRCULATION WITH RIGHT PARAMETERS IS THE KEY FACTOR FOR GOOD HOLE CLEANING, LSR#7- BYPASSING SAFETY CONTROLS, OBTAIN AUTHORISATION BEFORE OVERRIDING OR DISABLING SAFETY CONTROLS R-2: WOB:10-20, GPM 850 : ,RPM 90; LOSSES 15 BBL/HR R-3: CONTROLED PARAMETERS 1ST 200 FT IN SIMSIMA. WOB:10-20, GPM 650, RPM 70 LOSSES 20 BBL /HR  NOTE: THERE IS NO RIG MANAGER CURRENTLY AT THE LOCATION  NEXT  LOCATION IS READY  BB-1277,  SECOND LOCATION BB-1503 {INJECTION -28] HANDED OVER FROM GEODETIC ON 06-10-2018 - LEVELLING WORKS IN PROGRESS ",SIMSIMA F'MTN,17/10/2018 7:30:00 PM,97.1,700,800,800,30,20,1.203
25/06/2019,BB-1335,BAB,"14,880.00",R-1: DISCUSSED LSR- BYPASSING SAFETY CONTROLS + HSE OBSERVATION REPROT R-2: GOOD RESPONSE FROM ALL CREW,THAMAMA ZONE H,31/05/2019 12:00:00 PM,86.3,600,130,130,22,21,0.464
30/10/2018,BB-1243,BAB,"8,497.00","R-1: DISCUSSED LSR- WORK AUTHORIZATION , SP2R7, 100% HSE OBSERVATION         REPORTING R-2: WASH & REAM AS REQUIRED. R-3: OBSERVED TIGHT HOLE F/ 8265' TO 8235' R-4: GOOD RESPONSE, SECURED WELL IN  90 SEC,         GOOD RESPONSE F/ CREW, HEAD COUNT IN 2.5 MIN. ",THAMAMA ZONE A,8/10/2018 15:00,29.7,850,110,120,38,35,1.178
5/1/2018,BB-321,BAB,"12,200.00","[R-1DISCUSSED LPR # 5(CONFINED SPACE ENTRY) AND  SP2R5  GR #5,CHEMICAL HAZARDS [R-2]WELL SECURED IN 74 SEC, HEAD COUNT IN 2 MIN.  \t NEXT WELL BB-578: (100% COMPLETED). \t ",DENSE BELOW ZONE B,18/07/1992,30.6,300,55,60,15,10,0.451
2/1/2018,BB-321,BAB,"10,282.00","[R-1]DISCUSSED LPR #2(PERMIT TO WORK)  AND SP2R2,GR #2, BOP CLASSES [R-2]GOOD RESPONSE FROM CREW.   NEXT WELL BB-578: (100% COMPLETED).  ",DENSE BELOW ZONE B,18/07/1992,36.7,300,55,60,15,10,0.451
4/1/2018,BB-1216,BAB,"7,230.00",R-1: DISCUSSED LPR 06 FALL PREVENTIOR R-2: OBSERVED LOSSES 8-10 BBLS,SHILAIF F'MTN,19/12/2017 6:00:00 AM,36.1,802.6,100,100,20,10,1.037
3/1/2018,BB-321,BAB,"11,077.00","[R-1]DISCUSSED LPR #3(GAS TESTS) AND  SP2R3,GR #3, IRP (5 BARRIERS) [R-2]GOOD RESPONSE FROM CREW.  \t NEXT WELL BB-578: (100% COMPLETED). \t ",DENSE BELOW ZONE B,18/07/1992,36.1,300,55,60,15,10,0.451
4/1/2018,BB-321,BAB,"12,093.00","[R-1]DISCUSSED LPR #4(ISOLATION) AND  SP2R4,GR #4, OBSERVATION VS NEAR MISS [R-2]WELL SECURED IN 70 SEC, HEAD COUNT IN 2 MIN.  \t NEXT WELL BB-578: (100% COMPLETED). \t ",DENSE BELOW ZONE B,18/07/1992,46.2,300,55,60,20,10,0.451
4/1/2018,BB-1214,BAB,"4,346.00","R-1: ACCUMUILATOR TEST / OBSERVATION Vs NEAR MISS,SP²R4/LPR#4     NEXT LOCATION : BB-1220: \t\t\t\t\t\t *LOCATION AND RIG MOVE ROAD HANDOVER ARE READY, ARRANGMENT WITH FIELD SERVICE TO TAKE SURVEY WITH ADNOC DRILLING RIG MANAGER HAS BEEN ARRANGED THE FOLLOWING SATARDAY\t\t\t\t\t\t ",UMM ER RADHUMA F'MTN,28/12/2017 2:30:00 PM,70.3,852.8,120,125,25,10,1.208
5/1/2018,BB-1214,BAB,"5,375.00","R-1: BOP FUNCTIONAL TESTING / CHEMICAL HAZARDS,SP²R5/LPR#5   NEXT LOCATION : BB-1220: \t\t\t\t\t\t *LOCATION AND RIG MOVE ROAD HANDOVER ARE READY, ARRANGMENT WITH FIELD SERVICE TO TAKE SURVEY WITH ADNOC DRILLING RIG MANAGER HAS BEEN ARRANGED THE FOLLOWING SATARDAY\t\t\t\t\t\t ",SIMSIMA F'MTN,28/12/2017 2:30:00 PM,46.8,852.8,125,130,12,8,1.208
7/1/2018,BB-1128,BAB,"5,611.00","R-1:    LPR7/GR7  OBTAIN AUTHORIZATION OR VALID PERMIT TO WORK BEFORE OVERRIDING R-2:    PUMPED HI-VIS EVERY CONNECTION  40-50 WOB,    80 RPM,  850 GPM   LOSSES 15 BBL     R-3:    PUMPED HI-VIS EVERY CONNECTION  15-30 WOB,    80 RPM,  850 GPM   LOSSES 15 BBL       NEXT LOCATION: 1ST - HB2-INJ 17 [WAITING FOR GEODATIC TEAM TO SHOW THE LOCATION]  2ND- HB2-PR13 [WAITING FOR GEODATIC TEAM TO SHOW THE LOCATION]   ",FIQA F'MTN,25/12/2017 6:00:00 PM,34,850,80,80,50,40,0.994
8/1/2018,BB-1207,BAB,"3,660.00","[R-1]\tDEGASSER TEST , SP2 R8, LPR 8/ GR8 , CRANE SAFETY \t\t\t\t\t\t [R-2]\tFILL 18 5/8"" X 13 3/8"" ANNULUS FOUND FULL X 300 PSI X 10 MIN OK\t\t\t\t\t\t \t\t\t\t\t\t\t ",U.E.R,,69.1,902.9,70,90,35,10,0.994
8/1/2018,BB-1214,BAB,"7,285.00","R-1: DEGASSER TEST / CRANE SAFETY ,SP²R8/LPR#8  NEXT LOCATIONS :  1ST NEXT: BB-1220: \t\t\t\t\t\t HANDOVER FOR RIG MOVE PICKED UP BY ADCO DRIVER, WAITING FOR FIELD SERVICE TO SHOW US THE ROUTE.\t\t\t\t\t\t 2ND NEXT: BB-1300: NO INFORMATION  3RD NEXT: BB-1301: NO INFORMATION",SHILAIF F'MTN,28/12/2017 2:30:00 PM,0,,,,,,1.208
