DESCR,ID_NODE,ID_PARENT,ORD,ID_TREE,TAG,DESCR
CDS ESD 2 Test Separator V-0601,39,491,0,6,S-2006-01,Test Separator V-0601-ESD Level 2
CDS ESD 2 Test Separator V-0601,41,39,0,6,SDV-0601-01,Close SDV - Oil Inlet Valve to Test Separator V-0601 
CDS ESD 2 Test Separator V-0601,43,39,1,6,SDV-0601-03,Close SDV - Gas Outlet from Test Separator V-0601
CDS ESD 2 Test Separator V-0601,44,39,2,6,SDV-0601-04,Close SDV- Water Outlet from Test Separator V-0601 
CDS ESD 2 Test Separator V-0601,45,39,4,6,LCV-0601-06A/06B,Close LCV - Oil Outlet from Test Separator V-0601
CDS ESD 2 Test Separator V-0601,46,39,5,6,SDV-0401-05,"Close SDV, Oil to Prod. Separator V-0401 from test Separator V-0601"
CDS ESD 2 Test Separator V-0601,47,39,6,6,SDV-0402-05,Close SDV- Oil to Production Separator V-0402 from Test Separator V-0601
CDS ESD 2 Test Separator V-0601,49,39,7,6,SOV- 0403-07,Close SOV- Oil to Prod. Separator V-0403 from Test Separator V-0601
CDS ESD 2 Test Separator V-0601,50,39,3,6,LCV-0601-02A/02B,Close LCV - Water Outlet from Test Separator V-0601
CDS ESD 2 Test Separator V-0601,51,39,8,6,SOV-0601-02A/02C,Close SOV - Corrosion Inhibitor Inlet Valve
CDS ESD 2 Test Separator V-0602,77,0,0,7,S-2007-02,ESD 2 from ESD 1
CDS ESD 2 Test Separator V-0602,90,77,0,7,S-2007-01,Test Separator V-0602
CDS ESD 2 Test Separator V-0602,91,90,0,7,SDV-0602-01,Close SDV - Oil Inlet Valve to Test Separator V-0602 
CDS ESD 2 Test Separator V-0602,92,90,1,7,SDV-0602-03,Close SDV - Gas outlet from  Test Separator V-0602
CDS ESD 2 Test Separator V-0602,93,90,2,7,SDV-0602-04,Close SDV - Water outlet from Test Separator V-0602
CDS ESD 2 Test Separator V-0602,94,90,3,7,LCV-0602-02A/02B,Close LCV - Water outlet from Test Separator V-0602
CDS ESD 2 Test Separator V-0602,95,90,4,7,-LCV-0602-06A/06B,Close LCV - Oil outlet from Test Separator V-0602
CDS ESD 2 Test Separator V-0602,96,90,5,7,SDV-0403-08,Close SDV - Oil to Prod. Separator V-0403 from Test Separator V-0602
CDS ESD 2 Test Separator V-0602,97,90,6,7,SDV-0404-07,Close SDV - Oil to Prod. Separator V-0404 from Test Separator V-0602
CDS ESD 2 Test Separator V-0602,98,90,7,7,SDV-0405-06,Close SDV - Oil to Prod. Separator V-0405 from Test Separator V-0602
CDS ESD 2 Test Separator V-0603,102,114,0,8,SDV-0603-01,Close SDV - Oil Inlet Valve to Test Separator V-0603  
CDS ESD 2 Test Separator V-0603,103,114,1,8,SDV-0603-03,Close SDV - Gas outlet from  Test Separator V-0603
CDS ESD 2 Test Separator V-0603,104,114,2,8,SDV-0603-04,Close SDV - Water outlet from Test Separator V-0603
CDS ESD 2 Test Separator V-0603,105,114,3,8,LCV-0603-02A/02B,Close LCV - Water outlet from Test Separator V-0603
CDS ESD 2 Test Separator V-0603,106,114,4,8,LCV-0603-06A/06B,Close LCV - Oil outlet from Test Separator V-0603
CDS ESD 2 Test Separator V-0603,107,114,5,8,SDV-0401-06,Close SDV - Oil to Prod. Separator V-0401 from Test Separator V-0603
CDS ESD 2 Test Separator V-0603,108,114,6,8,  SDV-0403-06,Close SDV - Oil to Prod. Separator V-0402 from Test Separator V-0603
CDS ESD 2 Test Separator V-0603,109,114,7,8,SDV-0403-06,Close SDV - Oil to Prod. Separator V-0403 from Test Separator V-0603
CDS ESD 2 Test Separator V-0603,110,114,8,8,SOV-0603-02A/02C,Close SOV - Corrosion Inhibitor inlet valve 
CDS ESD 2 Test Separator V-0603,113,0,0,8,S-2008-02,ESD 2 from ESD 1
CDS ESD 2 Test Separator V-0603,114,113,0,8,S-2008-01 ,Test Separator V-0603
CDS ESD 2 - Separation Train 1 ,144,0,0,1,S-2001-02,ESD 2 from ESD 1
CDS ESD 2 - Separation Train 4,211,259,0,4,S-2004-01,Separation Train n°4 - Dry Mode
CDS ESD 2 - Separation Train 4,212,211,0,4,SDV-0304-01,Close SDV - Oil Inlet Valve to Prod. Separator V-0304 
CDS ESD 2 - Separation Train 4,213,211,1,4,SDV-0304-04,Close SDV - Water outlet from Prod. Separator V-0304
CDS ESD 2 - Separation Train 4,214,211,2,4,LCV-0304-01A/B,Close LCV - Water outlet from Prod. Separator V-0304
CDS ESD 2 - Separation Train 4,215,211,3,4,SDV-0304-02,Close SDV - Fresh Water inlet valve to Prod. Separator V-0304
CDS ESD 2 - Separation Train 4,216,211,4,4,SDV-0304-05,Close SDV - Oil outlet from Prod. Separator V-0304
CDS ESD 2 - Separation Train 4,217,211,5,4,FCV-0304-08,Close FCV - Oil outlet from Prod. Separator V-0304
CDS ESD 2 - Separation Train 4,218,211,6,4,SDV-0304-03,Close SDV - Gas outlet valve from Prod. Separator V-0304
CDS ESD 2 - Separation Train 4,219,211,7,4,SOV-0304-01A,Close SOV - Corrosion Inhibitor inlet valve
CDS ESD 2 - Separation Train 4,220,211,8,4,SOV-0304-01B,Close SOV - Corrosion Inhibitor inlet valve
CDS ESD 2 - Separation Train 4,221,211,9,4,SDV-0404-03,Close SDV - Water outlet from Prod. Separator V-0404
CDS ESD 2 - Separation Train 4,222,211,10,4,LCV - 0404-01A,Close LCV -  Water outlet from Prod. Separator V-0404
CDS ESD 2 - Separation Train 4,223,211,11,4,LCV - 0404-01B,Close LCV - Water outlet from V-0404
CDS ESD 2 - Separation Train 4,224,211,12,4,SDV-0404-04,Close SDV - Oil outlet from Prod. Separator V-0404
CDS ESD 2 - Separation Train 4,225,211,13,4,SDV-0404-05,Close SDV - Oil inlet from Pig Receiver RP-1301/02/03/04/05
CDS ESD 2 - Separation Train 4,226,211,14,4,SDV-0404-06,Close SDV - Oil inlet from Rec. Sump V-1101
CDS ESD 2 - Separation Train 4,227,211,16,4,SDV-0404-02,Close SDV - Gas outlet valve from Prod. Separator V-0404
CDS ESD 2 - Separation Train 4,228,211,17,4,SOV-0404-01A/01B,Close SOV - Corrosion Inhibitor inlet valve 
CDS ESD 2 - Separation Train 4,229,0,0,4,S-2004-03 ,ESD 2 from ESD 1
CDS ESD 2 - Separation Train 4,230,229,0,4,S-2004-02 ,Separation Train n°4 - Wet Mode
CDS ESD 2 - Separation Train 4,231,230,0,4,SDV-0304-01,Close SDV - Oil Inlet Valve to Prod. Separator V-0304 
